2023-03-09 21:26:23 Starting price-scheduler.bat main loop.
2023-03-09 21:26:24 Updating Json file TodayAndDayforward.json.
2023-03-09 21:27:11 [price 0.0374] Started program C:\Ohjelmatiedostot\Miners\hodlminer2018v3\POOL-run - Solo Mining 2nd address.bat
2023-03-09 21:34:23 [price 0.1374] Stopped process hodlminer-avx2.exe
2023-03-09 22:00:05 Updating Json file TodayAndDayforward.json.
2023-03-09 23:00:16 Updating Json file TodayAndDayforward.json.
2023-03-10 00:00:08 Updating Json file TodayAndDayforward.json.
2023-03-10 01:00:18 Updating Json file TodayAndDayforward.json.
2023-03-10 02:00:16 Updating Json file TodayAndDayforward.json.
2023-03-10 03:00:24 Updating Json file TodayAndDayforward.json.
2023-03-10 04:00:25 Updating Json file TodayAndDayforward.json.
2023-03-10 05:00:26 Updating Json file TodayAndDayforward.json.
2023-03-10 06:00:16 Updating Json file TodayAndDayforward.json.
2023-03-10 07:00:16 Updating Json file TodayAndDayforward.json.
2023-03-10 08:00:20 Updating Json file TodayAndDayforward.json.
2023-03-10 09:00:17 Updating Json file TodayAndDayforward.json.
2023-03-10 10:00:11 Updating Json file TodayAndDayforward.json.
2023-03-10 11:00:00 Updating Json file TodayAndDayforward.json.
2023-03-10 12:00:05 Updating Json file TodayAndDayforward.json.
2023-03-10 13:00:26 Updating Json file TodayAndDayforward.json.
2023-03-10 14:00:23 Updating Json file TodayAndDayforward.json.
2023-03-10 15:00:13 Updating Json file TodayAndDayforward.json.
2023-03-10 16:00:16 Updating Json file TodayAndDayforward.json.
2023-03-10 17:00:14 Updating Json file TodayAndDayforward.json.
2023-03-10 18:00:14 Updating Json file TodayAndDayforward.json.
2023-03-10 19:00:18 Updating Json file TodayAndDayforward.json.
2023-03-10 20:00:17 Updating Json file TodayAndDayforward.json.
2023-03-10 21:00:14 Updating Json file TodayAndDayforward.json.
2023-03-10 22:00:00 Updating Json file TodayAndDayforward.json.
2023-03-10 23:00:01 Updating Json file TodayAndDayforward.json.
2023-03-11 00:00:02 Updating Json file TodayAndDayforward.json.
2023-03-11 01:00:05 Updating Json file TodayAndDayforward.json.
2023-03-11 02:00:00 Updating Json file TodayAndDayforward.json.
